1000 2509
137 179 14
138 140 14
139 146 9
139 180 6
141 157 8
141 173 10
142 162 11
142 163 4
142 166 7
142 180 7
144 151 3
144 186 7
145 163 12
145 172 9
146 162 10
146 172 3
146 184 7
147 155 11
147 167 10
147 168 12
148 180 4
149 154 11
149 161 14
149 165 14
149 166 7
149 188 4
150 152 10
150 161 2
150 165 10
151 163 11
151 170 2
152 184 5
152 188 12
153 181 14
153 191 9
153 193 13
153 203 13
154 156 5
155 164 14
155 190 6
155 191 15
156 181 9
156 186 8
157 202 13
158 179 12
158 189 2
159 178 2
159 195 9
160 167 12
160 170 4
160 174 4
161 163 3
161 190 15
162 184 7
162 201 11
162 203 6
162 207 10
163 188 10
163 208 13
163 213 15
165 167 7
165 185 13
165 190 3
166 180 2
166 193 2
166 206 6
166 212 4
167 172 12
167 197 4
168 175 10
168 202 8
169 203 11
170 184 3
170 197 8
170 201 7
171 209 12
171 212 4
172 199 10
172 210 5
173 181 5
173 183 9
173 220 11
173 223 14
174 182 14
174 190 14
175 177 3
176 193 9
176 200 14
176 204 8
176 211 6
176 215 12
177 203 15
177 205 4
178 207 14
179 198 3
180 182 14
180 206 8
181 183 10
181 194 6
181 195 14
181 196 15
181 205 8
181 207 2
181 212 8
181 230 6
182 183 14
183 196 10
184 187 6
184 223 6
185 208 5
186 188 6
186 205 6
187 229 4
188 206 11
189 229 2
189 232 2
189 233 5
190 201 7
191 192 13
191 215 10
191 231 8
191 241 4
192 225 5
192 228 11
192 241 4
193 204 3
193 224 11
193 230 6
194 233 11
195 213 10
195 214 12
195 218 4
196 200 14
196 220 11
196 232 8
196 238 14
197 214 2
197 215 12
197 239 4
198 209 4
198 220 15
198 226 12
199 200 12
199 232 3
199 234 3
200 230 8
201 206 12
201 208 14
202 208 14
202 236 15
202 240 4
202 249 14
203 217 9
204 227 12
204 243 8
205 213 5
206 216 9
206 229 4
206 247 8
206 249 2
206 250 12
207 212 12
207 249 11
207 257 9
209 231 12
210 219 12
210 222 5
211 214 11
211 218 4
211 233 3
211 258 13
212 252 9
213 215 13
213 230 8
213 250 11
213 262 12
214 234 10
214 252 10
214 256 11
215 222 7
215 228 3
215 237 10
215 257 13
216 221 4
216 224 14
216 246 9
216 250 12
216 261 7
217 220 2
217 234 4
218 225 2
218 228 5
219 227 13
219 250 7
220 232 7
220 234 2
220 270 5
221 239 3
222 231 14
222 242 12
222 245 5
222 246 2
222 248 2
222 255 12
222 267 15
223 242 10
223 249 4
224 229 11
224 241 3
224 245 5
224 259 15
224 273 3
225 255 5
225 261 6
227 235 3
227 243 8
227 256 3
227 265 14
228 248 4
229 237 8
229 240 2
229 244 9
229 247 14
229 276 13
229 277 3
231 241 9
231 243 4
231 268 9
231 273 2
232 238 12
232 242 7
232 260 3
233 278 3
233 283 9
234 244 5
234 256 2
234 262 2
236 237 9
236 239 5
236 243 2
236 247 7
236 257 3
236 281 3
237 245 10
237 255 9
238 239 9
238 264 15
238 279 10
239 255 4
239 269 3
239 275 4
241 242 15
242 251 14
242 281 5
243 264 14
243 271 12
244 245 6
244 284 11
246 268 10
246 274 4
249 273 15
250 291 10
251 272 9
251 279 11
251 299 5
252 253 6
252 254 14
252 256 6
252 257 6
252 266 13
252 278 8
253 266 8
253 270 7
253 271 3
253 276 4
253 279 15
255 279 12
255 282 7
256 266 14
256 283 10
256 300 14
257 285 11
257 292 10
258 265 7
258 280 12
258 287 15
258 305 14
259 263 9
259 269 7
259 272 15
259 277 11
259 287 4
259 296 5
259 308 2
260 274 13
260 280 6
260 289 10
260 299 8
261 267 12
261 293 2
262 280 3
263 272 9
263 296 3
263 307 13
264 267 15
265 266 7
265 295 6
266 269 11
266 285 14
266 311 15
267 271 3
267 286 3
267 299 5
268 280 7
268 309 13
268 312 4
269 288 14
270 292 3
270 312 9
271 284 13
271 304 11
271 308 12
272 300 11
273 277 5
273 315 9
274 277 2
275 298 6
275 318 11
276 287 12
276 296 3
276 323 4
277 306 4
277 324 11
278 323 13
278 325 9
279 320 6
281 288 2
281 295 7
281 296 12
281 311 13
283 297 5
283 302 5
283 321 10
284 290 5
284 299 3
284 319 8
284 329 7
284 333 11
285 289 11
286 304 7
286 322 12
286 331 10
287 289 10
287 306 2
287 307 2
287 308 14
288 309 15
288 337 11
289 305 15
290 302 7
290 303 11
290 322 3
290 326 2
290 327 7
290 333 13
290 339 7
291 294 8
291 302 9
291 311 4
291 334 8
291 340 15
292 321 4
292 323 15
292 328 11
292 338 5
293 301 11
293 313 4
294 295 13
294 312 11
294 314 8
295 333 11
295 345 9
297 343 5
298 308 5
298 313 12
299 336 2
299 341 14
300 307 6
300 319 6
300 330 11
300 345 8
301 330 13
302 312 13
302 317 14
302 323 9
304 353 3
305 310 7
305 324 14
305 329 2
305 349 14
306 320 5
308 352 5
309 346 11
310 313 12
310 319 14
310 331 10
310 339 11
311 358 15
312 316 8
312 322 5
312 325 2
312 355 4
313 341 5
314 317 6
314 321 2
315 338 13
317 332 11
317 343 7
318 330 2
318 334 11
318 343 4
318 349 9
319 351 13
319 362 8
319 367 9
319 368 4
320 330 9
320 332 15
320 341 4
320 348 5
320 365 2
321 358 15
321 368 6
323 329 13
323 335 6
323 370 2
323 373 15
324 349 6
324 364 13
325 360 15
325 369 13
326 333 8
326 346 14
326 363 6
326 374 9
327 344 15
327 366 9
327 375 2
328 332 13
328 356 9
328 360 14
328 365 4
329 351 5
329 355 13
329 363 10
329 372 9
330 338 5
330 339 2
330 342 6
330 367 3
332 335 10
332 342 9
332 366 10
332 374 5
333 349 15
333 366 3
334 339 6
334 341 4
334 347 4
334 350 13
334 351 5
334 373 8
335 370 4
335 383 5
335 385 14
337 351 5
338 344 12
338 359 3
338 369 11
339 352 9
339 361 7
339 370 2
340 344 5
340 354 4
340 371 4
340 379 5
341 378 14
341 379 15
342 361 13
343 346 11
343 360 9
344 357 6
345 355 10
345 373 11
345 388 15
346 355 7
346 356 2
346 357 13
346 364 12
346 371 4
346 377 9
346 381 3
346 393 12
346 394 12
347 375 13
349 361 8
349 364 8
349 380 4
350 369 4
350 372 3
350 388 4
350 399 7
351 398 10
351 401 14
352 379 10
352 383 8
353 360 8
353 362 7
354 363 13
354 366 12
354 368 10
354 380 13
354 397 13
355 362 14
355 382 6
355 395 13
356 367 2
357 390 9
357 392 3
357 406 12
358 400 9
359 380 12
359 389 4
360 375 6
360 407 10
361 362 2
361 370 13
361 373 13
361 389 7
361 402 4
362 401 10
363 386 10
363 403 10
364 369 10
365 372 6
365 387 14
365 398 6
365 405 14
365 411 15
365 412 14
366 367 7
366 394 14
366 395 10
367 388 11
367 403 11
368 376 6
368 377 15
368 414 3
369 377 13
369 416 10
370 419 13
371 374 2
371 393 13
371 398 2
371 406 14
372 384 11
372 405 7
372 420 3
373 415 7
374 392 15
374 415 13
375 376 6
375 381 10
375 385 3
375 400 7
375 424 11
376 395 12
376 396 4
377 384 6
377 385 11
378 396 5
378 411 10
378 414 6
378 423 2
379 396 5
380 381 8
380 383 9
380 389 4
380 401 12
380 407 6
380 416 15
381 383 7
381 398 3
381 405 11
382 413 2
383 410 3
384 409 8
384 431 11
385 408 10
385 412 10
386 388 4
387 397 8
387 400 11
387 408 15
387 422 14
388 403 11
388 414 15
389 391 13
389 396 14
389 399 5
389 406 15
389 427 11
390 395 6
390 407 11
390 409 13
391 414 15
391 429 14
391 441 14
392 402 14
392 404 14
392 416 3
393 421 8
394 399 4
395 411 7
395 421 11
395 445 10
396 399 13
396 410 3
396 425 8
396 439 13
397 408 4
397 424 6
398 436 2
399 426 10
400 401 4
400 404 11
400 407 2
401 420 4
401 423 13
401 426 2
401 429 5
401 447 8
402 408 2
403 437 5
404 411 4
404 412 3
404 419 12
405 422 7
405 440 5
406 419 9
406 420 11
406 421 10
406 438 11
407 417 14
407 428 15
407 455 13
408 452 8
409 428 9
409 438 4
409 455 4
410 424 12
410 425 3
410 430 12
410 432 2
410 434 11
411 422 12
411 424 2
411 434 3
411 439 11
411 446 15
411 455 3
412 415 14
412 439 15
413 418 13
413 426 2
413 443 4
413 462 15
414 456 9
415 425 2
415 464 3
416 432 3
416 435 10
416 442 12
416 448 13
416 452 13
417 428 2
418 441 12
418 447 13
418 450 12
418 458 15
418 461 2
419 427 11
419 433 12
419 450 8
419 466 13
420 441 4
420 451 12
420 461 13
420 462 15
420 467 2
421 460 10
422 433 14
422 444 9
422 459 15
423 466 6
424 428 9
424 447 10
424 462 3
424 470 3
425 472 11
426 440 7
426 469 8
426 474 6
427 430 2
427 450 7
428 429 5
428 443 4
428 444 11
428 458 5
429 469 13
430 439 10
430 453 8
430 477 13
431 438 6
431 447 15
431 481 6
432 438 7
433 482 12
434 436 9
434 441 9
434 452 4
434 470 7
435 461 7
436 458 13
436 470 11
437 464 10
437 467 11
438 445 7
438 448 6
438 472 12
439 451 2
439 456 10
439 467 15
439 479 9
440 464 7
441 451 6
441 452 6
442 457 8
442 485 4
443 459 5
443 491 10
444 475 13
444 478 8
445 454 14
445 481 5
446 448 10
446 449 14
446 479 15
447 465 11
447 480 6
447 481 9
447 484 2
447 486 12
447 494 5
448 487 11
448 491 11
449 461 2
449 470 15
449 490 3
450 480 5
450 486 2
451 468 12
451 491 6
452 462 5
453 471 10
453 489 15
454 493 11
454 500 12
455 472 14
455 479 4
456 463 4
456 487 3
456 500 3
458 475 14
458 491 11
459 490 14
460 473 11
461 467 15
463 472 15
463 475 3
463 492 7
464 504 12
465 473 11
465 506 3
467 483 12
467 486 8
467 487 10
467 488 11
467 498 5
468 473 10
468 483 14
468 490 11
469 487 7
469 514 15
470 478 15
470 495 4
471 490 11
471 514 8
472 479 2
472 480 6
472 483 13
472 506 15
473 502 14
473 503 5
473 506 12
473 523 15
474 476 12
474 494 6
474 508 7
475 498 9
475 521 2
475 523 11
476 483 15
477 498 10
477 510 2
477 519 2
478 514 13
478 515 3
479 515 11
479 517 9
480 484 6
480 489 2
480 492 9
480 500 11
480 529 9
482 486 7
482 521 15
483 505 11
483 509 8
484 527 12
484 530 12
485 495 9
485 496 5
485 497 12
485 518 4
485 533 3
486 503 3
486 504 2
487 492 6
487 525 12
487 534 4
489 492 7
489 511 15
490 510 13
490 516 15
490 537 13
491 503 2
491 536 7
492 507 10
492 534 6
492 541 2
493 495 12
493 505 9
494 503 9
494 512 11
494 523 4
495 499 13
495 501 2
495 532 5
495 534 9
495 535 8
496 506 5
496 515 12
496 543 6
497 511 8
497 547 15
498 502 3
498 508 8
498 521 3
498 528 6
498 548 7
499 531 7
500 507 9
500 517 4
500 540 10
501 520 3
501 532 10
501 548 2
502 505 7
502 510 9
502 517 9
503 530 13
504 523 6
504 543 13
504 548 3
505 520 10
505 533 8
505 555 9
506 509 5
506 510 12
506 513 8
506 530 12
506 537 13
506 538 14
506 550 6
507 520 15
507 522 14
507 526 7
508 524 12
508 554 6
509 552 2
510 515 12
510 518 10
510 532 3
510 533 7
511 531 13
511 553 11
512 541 3
513 524 11
514 516 14
514 524 8
514 552 8
514 563 5
515 522 15
515 549 3
515 562 12
516 535 12
516 562 6
516 565 12
518 530 7
518 558 14
519 556 12
520 532 2
520 539 2
520 544 14
520 569 3
521 537 10
522 545 3
523 529 7
523 538 8
523 546 13
523 553 12
524 539 14
525 533 3
525 542 7
525 553 5
526 541 12
526 551 7
526 559 7
526 564 9
526 567 5
527 543 10
527 575 11
528 529 10
528 544 12
528 546 7
529 534 13
529 545 4
530 545 10
530 559 2
530 564 7
531 554 13
532 537 2
533 553 7
533 558 6
533 565 6
533 577 9
534 573 7
535 542 12
536 543 14
536 551 14
536 566 8
536 580 4
537 547 11
537 558 5
538 545 2
538 560 2
538 562 5
539 570 14
539 583 7
539 584 10
539 588 3
540 571 13
540 575 7
541 552 4
541 563 9
541 581 13
542 546 12
542 549 9
542 567 11
544 570 14
545 558 8
545 584 3
545 585 12
546 552 8
547 574 5
548 559 5
548 571 8
548 574 6
548 586 6
548 598 8
549 563 13
549 578 14
550 568 7
550 589 11
550 594 9
551 557 15
551 564 9
551 567 4
552 556 7
552 557 9
552 559 9
552 569 14
552 597 14
553 569 10
553 571 13
553 580 8
553 599 12
554 588 12
555 561 2
555 568 6
555 595 7
555 604 9
556 572 5
557 565 8
557 570 5
557 583 14
557 599 8
558 560 10
558 577 2
559 562 12
559 565 9
559 569 5
559 602 10
560 564 15
560 595 2
562 563 8
562 566 8
562 582 14
563 568 3
563 573 3
563 575 5
563 587 4
563 594 11
563 610 9
565 573 10
565 586 2
566 573 12
566 590 10
566 602 11
566 611 6
567 579 2
568 583 3
568 591 2
568 592 3
568 605 5
568 611 7
568 613 8
568 615 9
569 571 5
569 580 14
569 607 8
569 615 11
570 584 10
570 592 8
570 615 12
571 596 13
571 603 14
571 609 3
572 581 10
572 586 9
572 587 6
572 592 3
572 616 5
574 585 12
574 615 10
575 576 4
575 580 5
575 582 15
575 585 5
575 605 11
576 579 14
576 617 11
577 582 6
577 591 12
577 597 13
577 616 13
578 581 8
578 593 7
578 594 4
578 622 15
579 591 11
579 617 10
579 625 6
580 608 11
580 617 3
580 626 7
581 582 7
581 588 10
581 602 3
581 607 4
581 631 10
582 584 7
582 596 10
582 607 7
582 610 12
583 601 7
583 618 2
584 590 8
584 593 3
584 627 8
585 588 13
585 600 13
585 602 12
586 590 13
586 596 9
586 629 4
586 634 15
587 598 10
587 604 12
587 629 8
589 592 7
589 599 11
589 606 12
590 603 10
590 606 3
590 626 13
590 634 3
591 604 6
591 616 14
591 618 4
591 639 7
592 600 5
592 606 6
592 611 9
592 626 15
592 630 14
592 634 10
593 609 12
594 603 14
594 632 8
595 596 7
595 636 3
596 599 7
596 604 12
596 621 12
596 629 12
596 632 9
597 610 3
598 646 7
601 614 6
601 642 7
602 605 3
602 628 3
603 625 8
603 631 7
603 644 10
604 612 9
604 624 4
604 635 13
604 639 2
605 619 3
606 614 10
606 621 8
606 628 5
606 642 6
607 641 14
607 655 10
608 616 9
608 618 6
608 637 13
608 657 12
608 658 5
609 612 8
609 614 14
609 625 7
610 612 7
610 631 12
610 655 11
610 657 8
611 621 11
611 661 4
612 635 11
613 620 5
613 633 2
613 642 3
613 663 14
614 623 3
614 647 7
615 621 15
615 627 4
615 665 6
616 626 14
616 660 8
616 665 12
617 638 10
617 640 9
617 651 15
618 644 7
618 653 9
619 629 14
619 630 12
619 635 7
619 640 9
619 647 5
619 663 6
620 652 9
620 666 3
621 633 10
621 649 8
621 654 2
621 669 13
621 670 12
622 627 8
622 669 13
623 641 10
623 649 12
623 662 10
624 638 9
624 653 3
625 630 10
625 651 4
625 671 6
627 633 15
627 639 12
627 643 5
627 662 14
627 672 9
628 636 3
628 676 2
629 652 3
629 655 14
629 672 4
630 655 2
630 664 6
631 634 5
631 642 13
632 648 8
632 667 2
632 669 4
632 676 6
632 678 14
633 650 9
633 670 3
634 647 10
634 659 6
634 667 6
635 638 2
635 673 14
635 682 13
636 645 6
636 669 11
637 646 14
637 661 10
637 671 3
638 671 13
638 677 15
638 679 2
639 674 10
639 680 5
640 645 6
640 683 11
641 676 2
641 684 10
641 687 15
641 690 3
642 658 9
642 677 11
643 688 15
643 689 9
644 687 13
645 650 2
645 651 14
645 656 14
645 659 9
646 648 10
646 662 9
646 664 14
646 694 8
647 651 12
647 663 12
647 667 12
647 678 5
648 652 6
649 682 10
650 671 12
650 679 2
650 680 6
651 701 9
652 659 13
652 700 4
652 702 3
653 698 12
653 702 11
656 661 8
656 698 2
657 668 5
657 694 10
658 668 10
659 666 6
660 684 8
661 693 14
662 667 15
662 683 12
662 690 6
662 693 13
662 704 5
662 707 7
663 685 6
665 681 14
666 678 3
666 691 8
666 698 6
666 704 9
666 714 9
667 686 12
667 688 4
667 699 15
669 675 14
669 689 6
670 672 8
670 674 4
670 678 15
670 705 6
670 716 13
671 674 8
671 688 11
672 715 6
673 682 9
673 692 7
673 696 8
673 700 4
673 710 11
673 720 6
674 693 11
675 704 4
675 723 8
676 682 15
676 690 5
676 700 8
676 704 14
677 689 8
677 694 8
677 721 6
677 723 10
678 714 13
678 718 11
679 680 11
679 688 7
679 696 3
679 723 11
680 692 13
681 712 4
682 692 8
682 696 14
682 697 2
682 707 9
682 711 8
683 684 11
684 687 5
685 686 6
685 698 9
686 721 10
686 722 9
686 728 15
686 731 2
686 734 11
687 703 7
687 722 10
687 734 4
688 705 4
688 708 7
688 736 3
689 710 15
689 713 3
689 730 13
690 695 2
690 702 14
690 738 10
691 726 6
691 735 2
691 738 13
691 740 12
692 729 13
693 695 5
694 707 14
694 709 6
694 711 4
694 719 4
694 725 15
694 733 5
694 735 11
694 737 11
695 709 11
695 719 10
695 729 13
696 711 12
696 743 8
697 708 5
698 712 4
698 739 3
699 713 13
699 731 11
699 740 13
700 702 6
700 708 9
700 745 14
701 734 7
701 736 13
702 719 11
702 730 10
702 741 9
703 707 3
703 724 13
704 706 13
704 712 5
704 739 12
705 719 9
705 736 10
705 754 12
706 733 5
707 711 14
707 746 14
708 721 6
708 727 6
709 740 10
710 733 11
711 713 12
711 753 4
711 759 6
712 722 4
712 724 11
712 748 8
712 749 11
713 742 7
714 746 3
714 747 10
715 717 13
715 741 4
716 721 12
717 761 6
718 732 12
718 754 6
718 767 12
719 731 14
719 741 8
719 751 2
719 753 9
720 725 15
721 753 2
722 748 13
722 752 9
722 768 14
723 724 11
723 764 3
724 727 7
724 746 12
724 749 7
724 758 9
725 739 13
725 740 8
725 756 7
725 760 2
725 767 13
725 772 13
726 743 3
726 760 10
726 761 12
727 758 13
728 753 11
728 759 6
729 736 3
729 747 8
729 755 12
729 764 8
730 735 11
730 742 15
731 735 13
731 750 11
731 774 12
733 766 3
734 738 5
734 744 6
734 757 3
734 780 5
735 759 10
735 761 7
735 772 10
735 777 15
736 741 3
736 762 7
736 784 5
737 738 15
737 742 14
737 776 11
737 783 5
738 743 6
738 754 2
738 766 11
739 763 2
739 764 14
739 766 8
740 768 11
740 771 10
741 767 9
741 773 9
742 748 15
742 770 14
742 783 7
743 767 10
743 782 12
744 772 4
744 785 10
744 789 2
745 749 4
745 755 3
745 784 3
745 790 9
746 757 3
746 774 11
746 784 5
747 763 2
747 775 14
747 777 2
748 778 14
749 755 5
749 766 13
749 770 7
749 795 8
750 771 6
750 798 12
751 754 10
751 757 15
752 773 5
752 793 7
752 800 5
753 759 6
753 779 7
753 788 4
754 781 14
755 791 2
756 768 11
756 769 4
756 777 8
756 782 15
756 795 13
756 806 11
757 758 4
757 786 10
758 765 8
759 765 14
759 770 7
759 771 12
759 777 10
759 805 9
759 809 11
760 770 4
760 773 5
761 768 10
761 783 15
761 789 13
761 794 4
761 806 7
762 763 4
762 779 3
762 787 2
762 800 8
762 801 8
762 802 15
762 810 15
763 797 4
763 808 15
763 809 12
763 813 14
764 786 2
765 798 13
767 773 7
767 779 6
767 799 15
769 796 3
769 802 14
769 812 6
769 817 12
769 818 7
770 807 9
770 811 4
771 795 7
771 801 9
771 809 8
772 790 2
773 781 10
773 783 12
773 804 2
773 815 7
775 785 15
775 800 15
775 805 13
776 784 6
776 786 6
776 803 3
776 807 3
777 799 12
778 799 4
780 814 4
781 793 15
781 810 13
781 815 9
781 825 6
782 789 4
784 786 4
784 804 3
784 823 9
785 787 12
785 795 12
785 808 10
785 827 12
786 801 4
786 805 2
786 816 13
787 793 8
788 792 14
789 802 15
789 805 7
789 836 9
790 791 8
790 806 7
790 832 4
790 839 5
790 840 12
791 804 10
791 828 6
792 806 15
793 794 4
793 809 2
793 816 14
793 826 3
794 804 15
794 825 13
794 828 10
795 803 4
795 817 6
795 822 5
797 824 11
798 813 6
799 807 10
799 829 7
800 831 7
801 812 4
801 816 15
802 817 7
803 817 11
803 847 15
804 819 6
804 821 15
804 854 2
806 831 7
806 839 13
806 843 3
806 848 6
807 820 13
807 856 5
807 857 9
808 816 2
808 820 3
809 848 5
811 847 14
811 849 2
811 856 9
812 813 4
812 825 2
812 851 4
812 853 4
813 828 9
813 830 8
813 837 2
813 853 13
814 852 9
815 833 7
815 838 7
815 842 11
815 847 8
815 848 12
815 862 9
816 840 9
817 862 11
818 843 13
818 864 3
819 823 13
819 843 7
819 845 11
819 846 8
819 849 10
819 851 8
819 861 9
820 835 7
821 840 14
821 855 6
822 834 6
823 832 3
823 837 7
823 838 5
824 825 6
824 853 6
825 841 3
825 850 10
825 868 14
826 832 7
826 874 8
827 829 14
827 831 6
827 844 13
827 851 2
827 874 5
828 831 7
828 845 5
829 860 3
829 868 5
830 856 8
830 878 10
831 857 4
831 861 12
831 879 2
832 840 5
832 842 9
834 862 13
834 876 3
835 860 15
835 866 15
835 869 9
835 870 7
835 880 6
837 838 6
837 845 12
837 858 5
837 873 13
837 878 6
838 871 4
838 885 5
838 888 2
839 857 12
840 845 12
840 847 8
840 852 5
840 881 11
841 855 3
842 843 13
842 863 8
842 871 14
842 892 14
843 873 4
844 852 14
844 857 6
844 884 7
847 877 13
847 895 9
848 849 4
848 855 9
848 867 10
848 868 12
848 894 4
849 854 7
849 861 4
849 878 3
850 860 8
850 872 4
850 875 14
851 869 12
851 872 6
851 879 6
851 889 11
852 854 10
852 863 3
852 867 2
852 871 15
852 891 12
853 858 5
853 859 8
853 893 14
853 898 12
854 864 12
854 888 5
855 865 2
855 897 10
856 861 4
856 864 10
856 893 7
856 901 9
857 877 9
858 865 9
858 888 2
859 866 11
859 886 11
861 870 8
861 873 9
861 889 14
861 897 14
862 883 5
862 887 14
862 896 15
862 905 3
863 865 6
863 870 5
863 871 13
863 875 7
863 876 7
863 880 4
863 891 13
863 903 7
863 904 13
863 906 15
864 892 9
864 909 14
865 881 13
865 887 3
865 894 14
865 906 15
866 895 8
866 915 14
867 873 3
867 900 6
867 913 12
868 890 5
869 879 5
869 888 15
869 890 9
869 908 7
870 875 7
870 877 3
870 882 8
870 910 13
871 872 15
871 904 8
871 913 15
872 890 15
872 919 4
873 891 5
873 920 4
874 881 5
874 905 4
875 880 13
876 890 15
876 902 14
876 911 13
876 912 11
876 918 9
876 925 6
877 887 11
877 889 13
878 896 5
878 908 11
878 921 15
878 925 4
879 885 12
879 900 14
879 904 12
880 884 7
880 914 2
880 928 8
880 929 2
881 891 6
881 906 5
881 931 12
882 908 4
883 885 4
883 887 4
883 900 9
883 923 8
883 926 8
883 932 15
883 933 7
884 924 11
884 929 9
885 901 11
885 924 5
885 930 7
886 901 2
886 935 4
887 905 8
887 906 10
887 912 13
888 893 2
888 922 2
888 934 4
889 899 13
889 938 15
890 899 11
890 907 9
890 918 5
890 922 10
890 929 11
891 896 7
891 919 8
892 897 2
892 910 15
893 894 14
893 900 10
894 904 12
894 914 13
894 927 10
895 907 12
896 905 2
896 934 7
897 913 8
898 911 4
898 931 10
899 909 7
899 917 4
899 927 12
900 922 5
900 935 12
901 914 9
901 918 11
901 932 6
901 946 5
901 948 15
903 916 14
903 921 4
903 944 4
903 945 10
905 908 10
905 932 13
905 940 7
905 953 11
906 923 7
906 924 5
906 925 4
906 939 5
907 946 4
907 953 2
908 915 6
908 947 11
